证券代码,证券名称,candle_end_time,open,最高价,最低价,close,涨跌,涨跌幅%,成交量,成交额
399019,创业200,2019-06-20,2443.15,2496.17,2432.84,2489.65,35.64,1.45,2761045600,24641413532
399019,创业200,2019-06-21,2537,2564.57,2529.44,2549.36,59.72,2.4,3332756400,29719369373
399019,创业200,2019-06-24,2553.35,2562.25,2525.46,2539.38,-9.98,-0.39,2661917600,24857270881
399019,创业200,2019-06-25,2524.23,2525.45,2471.73,2504.59,-34.79,-1.37,2370955400,21251137199
399019,创业200,2019-06-26,2480,2522.67,2480,2506.89,2.31,0.09,2096587600,19364664748
399019,创业200,2019-06-27,2514.96,2538.34,2511.41,2531.38,24.49,0.98,2574913700,24302284342
399019,创业200,2019-06-28,2518.28,2518.28,2460.72,2479.68,-51.7,-2.04,2492545900,22494866559
399019,创业200,2019-07-01,2538.9,2571.27,2525.74,2571.27,91.58,3.69,3196505200,30223358496
399019,创业200,2019-07-02,2569.27,2580.63,2561.98,2571.33,0.07,0,2934196600,28109675206
399019,创业200,2019-07-03,2548.5,2549.88,2523.81,2535.09,-36.25,-1.41,2384496100,21827479728
399019,创业200,2019-07-04,2542.86,2548,2507.23,2520.21,-14.88,-0.59,2265693900,20792623656
399019,创业200,2019-07-05,2516.52,2541.07,2510.64,2534.94,14.74,0.58,1972707600,19303456150
399019,创业200,2019-07-08,2516.66,2516.66,2422.78,2433.35,-101.59,-4.01,2490320000,22995459510
399019,创业200,2019-07-09,2435.95,2454.39,2419.19,2448.81,15.45,0.64,1827591000,17243977915
399019,创业200,2019-07-10,2457.71,2463.31,2426.64,2436.22,-12.59,-0.51,1851944100,17682510651
399019,创业200,2019-07-11,2448.84,2463.49,2414.95,2431.28,-4.94,-0.2,1802640400,17576023415
399019,创业200,2019-07-12,2427.96,2441.44,2410.94,2430.19,-1.09,-0.04,1723804600,17018156817
399019,创业200,2019-07-15,2403.81,2470.73,2388.05,2463.63,33.44,1.38,2332733500,23070013943
399019,创业200,2019-07-16,2455.07,2477.83,2455.07,2477.83,14.2,0.58,1991047500,19727844643
399019,创业200,2019-07-17,2470.77,2497.11,2470.77,2480.55,2.72,0.11,2315242400,21985903067
399019,创业200,2019-07-18,2456.38,2462.84,2428.77,2429.21,-51.34,-2.07,2009403400,18757277266
399019,创业200,2019-07-19,2441.24,2464.19,2436.01,2437.68,8.47,0.35,1714771400,16804771900
399019,创业200,2019-07-22,2440.61,2440.61,2358.63,2363.62,-74.06,-3.04,1919276700,17740319291
399019,创业200,2019-07-23,2370.53,2408.97,2368.01,2408.97,45.35,1.92,1587318100,15484583224
399019,创业200,2019-07-24,2418.61,2467.1,2418.61,2451.36,42.39,1.76,2036575100,20158746977
399019,创业200,2019-07-25,2449,2472.48,2446.77,2456,4.64,0.19,1864610300,19702374220
399019,创业200,2019-07-26,2445.34,2453.94,2439.7,2450,-6,-0.24,1596663600,16428117103
399019,创业200,2019-07-29,2449.83,2465.68,2442.61,2457.9,7.89,0.32,1612043600,17373427524
399019,创业200,2019-07-30,2458.41,2487.9,2457.47,2466.69,8.8,0.36,1676907800,17924616849
399019,创业200,2019-07-31,2458.34,2460.05,2447.25,2452.02,-14.68,-0.59,1615839200,16220613033
399019,创业200,2019-08-01,2430.83,2454.87,2428.6,2444.86,-7.16,-0.29,1679936200,17294472626
399019,创业200,2019-08-02,2377.76,2407.66,2377.58,2400.44,-44.42,-1.82,1947967200,19235644793
399019,创业200,2019-08-05,2395.25,2426.93,2372.25,2372.25,-28.19,-1.17,1759535100,18037869134
399019,创业200,2019-08-06,2315.6,2318.85,2240.53,2303.93,-68.32,-2.88,2418233100,22104938775
399019,创业200,2019-08-07,2323.98,2324.64,2282.21,2282.21,-21.72,-0.94,1725166300,16528376584
399019,创业200,2019-08-08,2297.07,2315.41,2291.95,2310.49,28.27,1.24,1649092100,16183090673
399019,创业200,2019-08-09,2320.78,2326.7,2271.21,2276.14,-34.35,-1.49,1726961100,16622537454
399019,创业200,2019-08-12,2283.38,2329.56,2270.24,2329.56,53.42,2.35,1570593100,15899226655
399019,创业200,2019-08-13,2303,2320.33,2299.29,2310.6,-18.96,-0.81,1452235700,15491984339
399019,创业200,2019-08-14,2346.67,2351.03,2322.76,2325.88,15.28,0.66,1755834800,18740657020
399019,创业200,2019-08-15,2258.37,2347.69,2258.37,2347.69,21.81,0.94,1883340500,19483410281
399019,创业200,2019-08-16,2344.36,2379.93,2344.36,2361.84,14.15,0.6,1958368800,20642093556
399019,创业200,2019-08-19,2395.14,2451.12,2388.16,2451.12,89.28,3.78,2674978600,27608927430
399019,创业200,2019-08-20,2456.12,2477.31,2451.92,2459,7.89,0.32,2597967600,26149781968
399019,创业200,2019-08-21,2451.87,2475.09,2450.42,2465.59,6.59,0.27,2174142800,23692500254
