candle_end_time,open,high,low,close,amount,info,pre_close
2021-05-06,1321.21,1322.68,1298.91,1310.13,4730640.00,{},1322.24
2021-05-07,1311.66,1315.75,1263.69,1263.90,4847937.00,{},1310.13
2021-05-10,1262.48,1265.80,1249.49,1254.49,4379785.00,{},1263.90
2021-05-11,1243.81,1260.82,1240.20,1258.11,4367330.00,{},1254.49
2021-05-12,1254.74,1273.69,1251.81,1270.91,4739303.00,{},1258.11
2021-05-13,1257.87,1287.92,1257.87,1275.48,5027245.00,{},1270.91
2021-05-14,1277.97,1301.37,1273.96,1300.54,5060970.00,{},1275.48
2021-05-17,1303.08,1338.29,1301.06,1328.92,5946864.00,{},1300.54
2021-05-18,1330.47,1332.32,1316.38,1321.64,5422690.00,{},1328.92
2021-05-19,1320.68,1335.25,1318.16,1326.14,7668543.00,{},1321.64
2021-05-20,1322.05,1339.97,1321.04,1329.79,6869658.00,{},1326.14
2021-05-21,1334.60,1341.28,1314.40,1315.21,6261344.00,{},1329.79
2021-05-24,1314.79,1333.42,1304.64,1330.87,5612988.00,{},1315.21
2021-05-25,1329.68,1371.59,1329.68,1370.12,6243466.00,{},1330.87
2021-05-26,1371.78,1375.81,1360.59,1364.04,6150436.00,{},1370.12
2021-05-27,1362.95,1400.38,1361.01,1397.77,8323018.00,{},1364.04
2021-05-28,1395.43,1414.61,1381.45,1386.04,21565099.00,{},1397.77
2021-05-31,1398.19,1442.67,1398.19,1442.67,16376296.00,{},1386.04
2021-06-01,1437.32,1467.94,1432.97,1460.54,15904982.00,{},1442.67
2021-06-02,1461.74,1465.16,1423.45,1426.85,14395871.00,{},1460.54
2021-06-03,1425.80,1438.64,1410.12,1414.53,11441596.00,{},1426.85
2021-06-04,1406.31,1445.14,1405.51,1431.52,10000221.00,{},1414.53
2021-06-07,1443.86,1451.39,1425.11,1433.56,10420182.00,{},1431.52
2021-06-08,1443.74,1446.38,1411.23,1419.08,9490826.00,{},1433.56
2021-06-09,1420.31,1442.16,1417.77,1427.32,8264218.00,{},1419.08
2021-06-10,1427.87,1455.83,1426.49,1450.40,10102674.00,{},1427.32
2021-06-11,1453.60,1455.66,1433.06,1436.28,10683273.00,{},1450.40
2021-06-15,1442.09,1467.47,1435.05,1448.20,10071064.00,{},1436.28
2021-06-16,1452.95,1454.92,1404.69,1406.47,8539387.00,{},1448.20
2021-06-17,1409.05,1477.05,1409.05,1473.51,11908654.00,{},1406.47
2021-06-18,1475.21,1499.82,1474.68,1494.70,10061074.00,{},1473.51
2021-06-21,1485.66,1529.28,1482.49,1528.13,10219505.00,{},1494.70
2021-06-22,1531.52,1534.43,1506.31,1523.36,19707938.00,{},1528.13
2021-06-23,1530.64,1551.92,1516.69,1534.30,16034833.00,{},1523.36
2021-06-24,1531.24,1537.58,1496.94,1504.81,14070093.00,{},1534.30
2021-06-25,1505.29,1536.50,1502.89,1534.85,10854452.00,{},1504.81
2021-06-28,1538.02,1579.22,1536.71,1562.98,10952572.00,{},1534.85
2021-06-29,1567.88,1576.87,1546.68,1562.08,10390392.00,{},1562.98
2021-06-30,1564.32,1603.35,1558.96,1588.22,11534991.00,{},1562.08
2021-07-01,1587.53,1594.11,1569.90,1579.80,10411769.00,{},1588.22
2021-07-02,1563.83,1564.88,1527.20,1538.16,9514212.00,{},1579.80
2021-07-05,1545.68,1581.07,1545.68,1575.89,9806062.00,{},1538.16
2021-07-06,1580.28,1584.69,1510.71,1532.79,11070754.00,{},1575.89
2021-07-07,1523.83,1573.15,1519.41,1570.03,10339861.00,{},1532.79
2021-07-08,1577.50,1616.70,1577.41,1610.77,11734788.00,{},1570.03
2021-07-09,1598.28,1602.00,1556.58,1583.71,10147818.00,{},1610.77
2021-07-12,1593.57,1611.60,1576.72,1601.61,10538463.00,{},1583.71
2021-07-13,1602.12,1621.71,1573.78,1590.98,11111536.00,{},1601.61
2021-07-14,1579.03,1585.60,1556.69,1556.72,9198546.00,{},1590.98
2021-07-15,1549.28,1567.27,1536.90,1560.70,9376894.00,{},1556.72
2021-07-16,1568.17,1569.25,1523.64,1525.23,9509712.00,{},1560.70
2021-07-19,1514.83,1530.59,1503.11,1514.18,8526475.00,{},1525.23
2021-07-20,1505.08,1529.27,1501.92,1522.63,7907029.00,{},1514.18
2021-07-21,1528.60,1576.77,1527.60,1565.64,9164912.00,{},1522.63
2021-07-22,1570.49,1584.32,1549.45,1582.13,12357063.00,{},1565.64
2021-07-23,1593.31,1593.70,1548.39,1563.49,11488401.00,{},1582.13
2021-07-26,1559.84,1566.68,1496.65,1556.98,12628435.00,{},1563.49
2021-07-27,1556.93,1627.85,1541.36,1545.29,18598248.00,{},1556.98
2021-07-28,1532.42,1555.25,1476.59,1518.70,13614854.00,{},1545.29
2021-07-29,1554.13,1598.34,1545.11,1588.47,12811655.00,{},1518.70
2021-07-30,1582.58,1608.96,1570.45,1591.22,15280930.00,{},1588.47
2021-08-02,1594.03,1619.36,1572.11,1599.47,15124102.00,{},1591.22
2021-08-03,1586.35,1593.03,1558.10,1564.19,13659596.00,{},1599.47
2021-08-04,1566.45,1608.50,1564.46,1605.89,12551651.00,{},1564.19
2021-08-05,1606.65,1616.05,1584.31,1604.81,12622179.00,{},1605.89
2021-08-06,1630.30,1639.19,1575.42,1586.67,12602316.00,{},1604.81
2021-08-09,1567.44,1582.92,1548.69,1574.44,10713509.00,{},1586.67
2021-08-10,1574.01,1592.83,1569.28,1588.19,11203302.00,{},1574.44
2021-08-11,1589.43,1593.15,1564.97,1578.79,13221209.00,{},1588.19
2021-08-12,1572.15,1604.73,1570.35,1586.50,12889128.00,{},1578.79
2021-08-13,1580.12,1588.23,1549.68,1552.78,12574406.00,{},1586.50
2021-08-16,1547.39,1566.00,1535.35,1547.93,10953033.00,{},1552.78
2021-08-17,1544.40,1555.45,1506.72,1509.25,10909613.00,{},1547.93
2021-08-18,1514.46,1530.24,1501.18,1507.99,10366160.00,{},1509.25
2021-08-19,1509.72,1553.16,1508.17,1546.11,9872179.00,{},1507.99
2021-08-20,1537.91,1557.11,1514.07,1529.09,10376035.00,{},1546.11
2021-08-23,1534.39,1568.84,1524.20,1564.11,11546176.00,{},1529.09
2021-08-24,1567.70,1586.52,1550.88,1578.03,11717098.00,{},1564.11
2021-08-25,1573.74,1574.40,1535.09,1542.78,10847549.00,{},1578.03
2021-08-26,1546.32,1555.04,1494.89,1497.34,10721530.00,{},1542.78
2021-08-27,1491.34,1506.65,1476.56,1480.31,10400805.00,{},1497.34
2021-08-30,1487.90,1508.78,1463.40,1471.46,11875582.00,{},1480.31
2021-08-31,1463.13,1463.56,1423.51,1441.17,10729866.00,{},1471.46
2021-09-01,1437.26,1438.38,1400.16,1424.66,12748492.00,{},1441.17
2021-09-02,1416.16,1424.17,1395.51,1399.48,11488714.00,{},1424.66
2021-09-03,1399.47,1415.24,1382.64,1400.89,11395644.00,{},1399.48
2021-09-06,1398.24,1441.71,1393.54,1439.00,9785658.00,{},1400.89
2021-09-07,1435.73,1443.34,1426.03,1438.57,9452685.00,{},1439.00
2021-09-08,1439.66,1439.66,1408.72,1412.72,9905056.00,{},1438.57
2021-09-09,1414.07,1425.28,1393.61,1402.19,9410267.00,{},1412.72
2021-09-10,1398.33,1431.71,1392.21,1426.81,10523019.00,{},1402.19
2021-09-13,1426.54,1426.76,1384.02,1384.43,9265900.00,{},1426.81
2021-09-14,1384.28,1414.09,1383.41,1396.67,9748823.00,{},1384.43
2021-09-15,1395.61,1395.99,1378.95,1384.52,7924336.00,{},1396.67
2021-09-16,1378.18,1380.16,1347.90,1351.43,9126226.00,{},1384.52
2021-09-17,1349.34,1360.91,1332.10,1349.68,8729839.00,{},1351.43
2021-09-22,1338.01,1361.21,1335.50,1355.28,7818997.00,{},1349.68
2021-09-23,1359.67,1376.57,1354.21,1363.79,7350698.00,{},1355.28
2021-09-24,1362.98,1390.50,1359.85,1375.00,7169070.00,{},1363.79
2021-09-27,1386.52,1397.18,1354.20,1368.69,8402437.00,{},1375.00
2021-09-28,1362.33,1379.59,1350.79,1354.10,5858258.00,{},1368.69
2021-09-29,1344.89,1356.64,1336.51,1345.77,6903713.00,{},1354.10
2021-09-30,1348.65,1371.49,1348.65,1368.72,5485896.00,{},1345.77
2021-10-08,1378.53,1388.02,1361.04,1364.46,5502787.00,{},1368.72
2021-10-11,1367.21,1377.31,1348.05,1349.77,5145543.00,{},1364.46
2021-10-12,1348.22,1355.92,1312.44,1319.39,5915764.00,{},1349.77
2021-10-13,1322.89,1349.17,1322.89,1344.76,5223684.00,{},1319.39
2021-10-14,1346.99,1356.21,1339.56,1347.27,5616097.00,{},1344.76
2021-10-15,1349.40,1367.23,1341.75,1363.16,6729274.00,{},1347.27
2021-10-18,1366.55,1366.55,1338.89,1352.58,6536446.00,{},1363.16
2021-10-19,1355.07,1369.16,1352.01,1366.79,6254979.00,{},1352.58
2021-10-20,1370.21,1381.06,1363.65,1373.59,7260010.00,{},1366.79
2021-10-21,1374.65,1379.19,1355.93,1362.40,6545723.00,{},1373.59
2021-10-22,1367.06,1379.19,1359.27,1368.14,6723731.00,{},1362.40
2021-10-25,1366.21,1381.24,1359.63,1380.31,7034967.00,{},1368.14
2021-10-26,1379.79,1389.48,1372.66,1376.13,7720807.00,{},1380.31
2021-10-27,1371.79,1374.36,1354.30,1361.82,8823225.00,{},1376.13
2021-10-28,1359.07,1371.17,1354.72,1356.37,8884098.00,{},1361.82
2021-10-29,1363.25,1398.42,1355.37,1396.20,8218328.00,{},1356.37
2021-11-01,1398.59,1415.58,1392.40,1404.21,9112094.00,{},1396.20
2021-11-02,1405.87,1423.93,1395.70,1405.64,9807672.00,{},1404.21
2021-11-03,1408.20,1416.47,1386.40,1399.55,7383885.00,{},1405.64
2021-11-04,1404.66,1420.33,1404.66,1410.74,8411022.00,{},1399.55
2021-11-05,1416.24,1418.88,1396.03,1396.74,9115940.00,{},1410.74
2021-11-08,1398.57,1401.05,1381.62,1400.80,8082439.00,{},1396.74
2021-11-09,1404.89,1422.90,1397.82,1420.51,8749737.00,{},1400.80
2021-11-10,1417.66,1423.31,1398.88,1420.45,8704593.00,{},1420.51
