holding_days,window_train,annual_ret,total_ret,sharpe,annual_vol,days,max_drawdown,calmar_ratio,risk_adjusted_ret,annual_ret_norm,max_dd_norm,composite_score
20,60,0.07023635909204984,0.49384171307370517,0.19496279031472635,0.25767152291446904,1490,-0.43176326856910674,0.1626733078170776,0.0399108791180729,0.7659968183202205,0.6629265089559675,0.33731982013736406
20,320,0.035311898652607976,0.18457301608641918,0.06627294140667943,0.2310429917188607,1230,-0.5280174976680128,0.06687637968166366,0.01666659828815144,0.6197792220741759,0.3252515690994186,0.3362699847220975
35,40,0.07925945294630177,0.5736742613766197,0.235067250989063,0.25209574152487507,1498,-0.40508359433879093,0.19566196719389545,0.04715274886148758,0.8037736394212613,0.7565229927204051,0.33568464977876145
35,190,0.05659150791238887,0.3424066528121539,0.14010793034625535,0.26116657224154655,1348,-0.4680300419694551,0.12091426369609451,0.030104982089038758,0.7088701708209838,0.5356969768990442,0.33550002650497535
20,140,0.0773482551661866,0.5171906373675375,0.22826613352578906,0.2512341812619676,1410,-0.4079584008339222,0.1895983879926882,0.04579338468129495,0.7957720628229978,0.7464377204219259,0.3331091278495206
20,150,0.08012785294332425,0.5345220745417973,0.24291335075388581,0.2475279878883413,1400,-0.3990585040467598,0.20079224507375804,0.04815215181528252,0.807409353718548,0.7776599549197628,0.3318885611270548
35,210,0.06331915733251581,0.38201622654304757,0.16314168527660416,0.2655308927271951,1328,-0.4425413205897285,0.1430807800006946,0.03529781382795547,0.7370366969238786,0.6251154111797393,0.3283910644927932
20,220,0.05381290172907405,0.31868405241786957,0.14398348692859805,0.23483874748666134,1330,-0.4689346303593934,0.11475565728176573,0.028578168548184346,0.6972370314130559,0.532523538879469,0.3283088603252984
40,190,0.07337677362844741,0.4600838469806885,0.20906078905378983,0.2553170007155859,1347,-0.4143785274397901,0.17707667933905957,0.04297101422400855,0.7791447341061896,0.7239149088446785,0.32822684122092916
20,80,0.07337525586392513,0.511416688921821,0.20752851698655597,0.25719480213595347,1470,-0.41331564906148777,0.17752837578382932,0.043048114361474175,0.7791383797093765,0.7276436529822401,0.3271037699018915
35,130,0.08021703989548579,0.5389914120581674,0.24471956193406072,0.24606549398658684,1408,-0.393646103613715,0.20377958567120172,0.04863991469720188,0.8077827510909765,0.7966475049507332,0.32645367427846356
20,230,0.046374835520483604,0.2680135152969825,0.11236652634310987,0.23472146357847135,1320,-0.48698026980278375,0.09522939304966993,0.023791205606658778,0.6660962164067695,0.46921660399707166,0.3255023702856171
20,240,0.06316098685013993,0.3749051656606175,0.18175168059317212,0.2374722847639042,1310,-0.43985706790958023,0.1435943433859376,0.03537918036796183,0.7363744874741384,0.6345321907936249,0.32510248399380937
30,200,0.031399767754374475,0.1786848335061375,0.048014712895575164,0.23742238715802108,1340,-0.5276743509245156,0.05950595798215374,0.014830915685404388,0.6034003755883024,0.32645538172206495,0.32444364839519213
30,70,0.025300476285621043,0.15690694501101632,0.02392405542092481,0.22155425542882928,1470,-0.5424118577641011,0.04664440115655511,0.01157719794122075,0.5778645841646515,0.2747538951247447,0.3220790403778326
40,260,0.04431661984146884,0.24575137105161549,0.09463819246663173,0.2569429868395107,1277,-0.4889949049044683,0.09062797873144851,0.022646018536402312,0.6574791226749052,0.46214894792457656,0.32159070149506064
40,20,0.05117306530372456,0.3504402992593971,0.1247958728532423,0.24979243777062665,1517,-0.46923507831489497,0.10905635079009005,0.027160867998318135,0.6861848767987663,0.5314695203053889,0.32088855766751967
5,30,0.060188014897069264,0.42266664084413086,0.16908977793009047,0.2376726457922539,1520,-0.4439459112337042,0.1355751080797426,0.033467791778242086,0.7239276004724433,0.6201878867928347,0.32069295429285993
30,60,0.017333689143627984,0.10619788058097579,-0.011848178148112431,0.22503973379205094,1480,-0.5615100402290413,0.030869775964393317,0.0076006486552717386,0.5445101829498925,0.20775447415809356,0.3188307858174967
5,340,0.050899146668581086,0.26919166965277763,0.12917449282825627,0.23920470668820812,1210,-0.4680158814161449,0.10875516983433982,0.027077537677155473,0.6850380666864919,0.5357466543421249,0.31880265037790684
20,30,0.03805424703575855,0.2526657983590186,0.07363756228503988,0.24517714160435247,1520,-0.5036314796782908,0.0755597069906488,0.018888930293096257,0.6312605616169525,0.4108015468521745,0.31864192907621436
10,30,0.05957917755710529,0.4177458245954444,0.1614783664376949,0.2451051396558225,1520,-0.44352711199098316,0.13433040719800807,0.03315419700040438,0.7213785923779953,0.6216571002541205,0.3184678845883605
25,30,0.035646446405273036,0.23438377739230343,0.06718701970747448,0.23287900659079813,1515,-0.5081350394470804,0.07015152201285152,0.017533237954981386,0.6211798669977824,0.3950023524863482,0.3163252011525432
35,110,0.03685426408089287,0.22762880171342892,0.06884484487529795,0.2448151943899624,1428,-0.5030770665412425,0.07325769058461253,0.018313729017541004,0.6262366150480163,0.4127465151352418,0.31454167599303884
30,270,0.05682258649060512,0.32118275440731225,0.16304048542218605,0.2258493428503643,1270,-0.44654046038939443,0.12725070073393666,0.03144900255857413,0.7098376232547678,0.6110858012189914,0.31356059591264007
5,330,0.04996698383330456,0.2662428363813274,0.12669303067585044,0.23653222022903825,1220,-0.46542929463453664,0.10735676591336933,0.02671088579275432,0.681135397686913,0.544820806658236,0.31334853638336824
5,40,0.022352156163862436,0.14163403834226762,0.010136172646788434,0.23205565313725168,1510,-0.542224020023824,0.041223102146748014,0.01023228019249265,0.5655209065317529,0.2754128593930646,0.31324077675430767
15,90,0.041724181102993585,0.26722346858276147,0.08726090507019843,0.24895663281875452,1460,-0.4882614476658551,0.08545458852517841,0.021351872034973622,0.6466254070845882,0.4647220310114668,0.3132211756557717
20,20,0.0654407060502391,0.46940694992110665,0.18130148121130277,0.25063615446847337,1530,-0.42175361312580073,0.15516335607709292,0.03784085182804731,0.7459189459241823,0.6980419509624689,0.3127306768581869
45,70,0.052473270351912404,0.3454249897841335,0.13962143844984695,0.2325808322306967,1462,-0.4576302384248182,0.11466303129908444,0.028459915129836786,0.6916284213626873,0.5721811196669082,0.31248555905380865
25,140,0.03610810729825675,0.2186791734354494,0.07072834817610539,0.22774612603915803,1405,-0.501811702724285,0.07195549067953076,0.01798863649276735,0.6231126941682961,0.4171856099655451,0.31102320292814367
40,180,0.0588737512956381,0.3607675730067563,0.15154585478703048,0.2565147779876126,1357,-0.4379527551906516,0.13442945751079682,0.0330898297073042,0.7184251972222013,0.6412128186356654,0.31053379246484125
25,70,0.01816082355946036,0.1110936124503501,-0.00800791160164677,0.22966992294987715,1475,-0.549927195941943,0.03302405062610804,0.008173692783409948,0.5479731313973022,0.2483889094928227,0.3090645191302647
20,310,0.028883947267544174,0.15040430237510516,0.03826487169387941,0.23216979109759278,1240,-0.5200254914386726,0.055543329592623446,0.01386355839505081,0.5928674362231049,0.3532887810545686,0.30902057103980285
25,100,0.00978514775559347,0.057424821632787504,-0.044288800789784456,0.2306418792617808,1445,-0.5731627114185012,0.017072198802634136,0.004176665936366856,0.5129068435415135,0.16687507509266866,0.30897226795125887
35,260,0.05737658203224205,0.32702507968231864,0.14420631703301387,0.2591882436307228,1278,-0.44059835632539945,0.13022423077281559,0.03209655429726676,0.7121570262007242,0.6319316347082304,0.30893042792803777
15,80,0.04721265431279553,0.3087905245366833,0.10918339587687155,0.2492380283123253,1470,-0.46853498572589325,0.1007665505269575,0.025091873998268344,0.669603896936696,0.5339255549658738,0.30854506136592497
30,210,0.05013829581313889,0.29459607608499505,0.1270570224629397,0.2372029127467527,1330,-0.45989276936655554,0.10902170930453654,0.02708005610031487,0.6818526264023848,0.5642438060877855,0.3080236966553337
35,220,0.03539722783889343,0.19953243818001787,0.05842725702110394,0.2635281651735242,1318,-0.500304464400316,0.07075137312900436,0.0176878367236999,0.620136468209157,0.42247323852130186,0.30735355619001936
10,290,0.05725220915323659,0.32097015754690617,0.1596855767816555,0.23328474558583975,1260,-0.4392354426458881,0.13034514885310236,0.03210500972335975,0.7116363165554624,0.6367129497638605,0.3071315366596655
5,100,0.015709477607454225,0.09383424587453892,-0.018559512200965942,0.23117646337291514,1450,-0.5509943674323305,0.028511140105953185,0.007053643930442623,0.5377101263813387,0.24464510444439233,0.3030035571336194
