momentum_days,final_net_value,small_net_value,excess_return,annual_return,small_annual_return,max_drawdown,trade_count,sharpe_ratio,profit_factor
28,0.8575560985056687,0.9423861865095291,-8.483008800386038,-1.8128158602009337,-0.7039635591655435,-39.77355147387186,257,-0.23790653942628467,0.989822711436039
29,0.875489007014961,0.9351546194793725,-5.966561246441149,-1.57110325580615,-0.7952429889910628,-38.477530715110404,232,-0.2207441609405355,0.9936010552405451
30,0.8175520983972357,0.9294077206152087,-11.185562221797296,-2.3711805633931937,-0.8683259119880438,-37.90145705422876,242,-0.27183756688797767,0.9815668329267254
31,1.1533023892648748,0.9294410265812768,22.386136268359802,1.7142141101161634,-0.868184650945969,-28.5787553662663,226,0.0009706054630067881,1.044995703599868
32,1.1754258656672558,0.9291292355020884,24.629663016516744,1.9454292127406125,-0.8724315489585077,-33.42981165586148,224,0.014981714117202493,1.0484496608540073
33,1.1753618362900227,0.9366369787101692,23.872485757985352,1.9466916486243546,-0.7780447575793437,-30.813458100796904,237,0.014678232597633453,1.048522509401232
34,1.0703361308501578,0.9327581133882484,13.757801746190934,0.8146415782100069,-0.8274342927888978,-33.433219912380224,223,-0.0628193770757137,1.0305448814355864
35,1.3977694992827363,0.9303542088816498,46.74152904010865,4.079515658997779,-0.8582558713878363,-25.018507021656962,209,0.16073967331784828,1.0826148441276828
36,1.5288542484863799,0.9351273116688581,59.372693681752175,5.201234136818478,-0.7979201166332439,-26.00723898675038,211,0.23752083891593517,1.1003581393972321
37,1.2388767971911456,0.932487963824915,30.638883336623067,2.5923525417174798,-0.831675133473031,-34.922198916142044,213,0.05938875124071756,1.0587651793191137
38,1.0216147890302225,0.923261627261559,9.83531617686635,0.25608008816979666,-0.9503512580378626,-37.0574918749775,195,-0.10205360785638781,1.0217947712464521
39,1.0982316653591822,0.9224317629536533,17.57999024055289,1.127315799604367,-0.9613164442858757,-34.67246321149642,199,-0.03567955511733425,1.0362946737447116
40,1.1299358252204506,0.9261371995003669,20.379862572008367,1.4727064629296072,-0.9141021089878021,-33.31649713130339,215,-0.01451879719914551,1.0417619792828257
41,0.9305831542245109,0.9344366451800299,-0.3853490955519012,-0.8575762610642634,-0.8085175098718866,-34.69846957244282,183,-0.16565253106365857,1.0054993975577788
42,1.0698660019258073,0.9331998483541156,13.666615357169166,0.8120193857304336,-0.8245128453646222,-33.00959611518458,212,-0.058442545762563504,1.0308338780990376
43,1.1495037044496532,0.924599030187389,22.490467426226424,1.6842055826501001,-0.93533624132347,-32.842020552964286,184,0.0054767467096270735,1.0453591061910996
44,1.2458375501906522,0.9266511080968761,31.91864420937761,2.6707910636563303,-0.9093031668435558,-32.367571248953624,181,0.07061575733401637,1.0603628013174393
45,1.0900758348366741,0.9277116177866704,16.23642170500037,1.0399122326406163,-0.896004328028932,-38.199954069680174,199,-0.035178051670505785,1.0354083862428494
46,1.448870646578041,0.9195906152342029,52.92800313438381,4.549501557905966,-1.0007960524542003,-28.150449596116694,175,0.19202125311016263,1.0905511738045246
47,1.3893158436406852,0.9281144694441117,46.12013741965735,4.02562699482274,-0.891426101854309,-29.092369769774702,179,0.15784416735755602,1.0822629357622695
48,1.6586667730056457,0.9259585091679391,73.27082638377065,6.268274159097786,-0.9199908753235619,-22.713948155866955,160,0.3031324881137773,1.116900505877105
49,1.5104513939797022,0.9234568372253802,58.6994556754322,5.081534003187138,-0.9525028792062518,-25.253805264921812,165,0.22673422712391078,1.0985983978597353
50,1.2114604011811818,0.9257517716564749,28.570862952470687,2.333075894955905,-0.923253579136607,-28.397743498107552,178,0.04650571016480562,1.0549547708059526
51,1.0825842213511183,0.9239897948882737,15.85944264628446,0.958896371951079,-0.9462540551176346,-33.094262893359584,159,-0.04386093627197527,1.0337851301961263
52,0.8846243879734778,0.9191306805119898,-3.4506292538512007,-1.4640382233789162,-1.009377994738625,-33.61478464965503,166,-0.20420179012581785,0.9963282540929018
53,0.8477526526567944,0.9234445358668095,-7.569188321001508,-1.9693707785501169,-0.9545370259868124,-37.27156711234414,174,-0.23337897829619791,0.9891364696521668
54,0.8833624145863119,0.9259088392919546,-4.254642470564263,-1.4828992620651515,-0.9230473100698466,-39.62229549539978,186,-0.20325882854379407,0.9962980445268521
55,0.982758478218514,0.9285016240151481,5.42568542033659,-0.20936109995592922,-0.8899586497003176,-35.752286954536615,193,-0.11730445510831164,1.0160355987433924
56,0.944303630838025,0.9437635800824302,0.05400507555948231,-0.6884303532562641,-0.695278603211058,-32.021678249629,190,-0.15092988725200412,1.0084544569786902
57,0.8422538278279686,0.9399446508140505,-9.76908229860819,-2.0488381561471813,-0.7440487386412675,-36.16317548437185,201,-0.24060030377739353,0.9876713157449957
58,0.7836612319049326,0.9200650645534652,-13.64038326485325,-2.9015206068157107,-1.0012141379321382,-40.89209596357761,198,-0.2974075801632188,0.9744775370649981
59,1.0043937525294995,0.9173038675859145,8.708988494358493,0.052984684183776665,-1.037488217440019,-27.375083414407037,175,-0.10711166460440343,1.019279118644198
